高柴,表字,子羔
高柴,年龄,少孔子三十岁
高柴,籍贯,齐
漆雕开,表字,子开
漆雕开,年龄,少孔子十一岁
漆雕开,籍贯,蔡
公伯僚,表字,子周
公伯僚,备注,《家语》无，有申镣
司马耕,表字,子牛
司马耕,籍贯,宋
司马耕,备注,宋桓魋之弟
樊须,表字,子迟
樊须,年龄,少孔子三六岁
樊须,籍贯,鲁
有若,表字,子胡
有若,年龄,少孔子四十三岁
有若,籍贯,鲁
公西赤,表字,子华
公西赤,年龄,少孔子四十二岁
公西赤,籍贯,鲁
巫马期,表字,子旗
巫马期,年龄,少孔子三十岁
巫马期,籍贯,鲁
梁鱣,表字,叔鱼
梁鱣,年龄,少孔子二十九岁
梁鱣,籍贯,齐
颜幸,表字,子柳
颜幸,年龄,少孔子四十六岁
颜幸,籍贯,鲁
冉孺,表字,子鲁
冉孺,年龄,少孔子五十岁
冉孺,籍贯,鲁
曹恤,表字,子循
曹恤,年龄,少孔子五十岁
伯虔,表字,子析
伯虔,年龄,少孔子五十岁
公孙龙,表字,子石
公孙龙,年龄,少孔子五十三岁
冉季,表字,子产
公祖句兹,表字,子之
秦祖,表字,子南
漆雕哆,表字,子敛
颜高,表字,子骄
壤驷赤,表字,子徒
壤驷赤,籍贯,秦
石作蜀,表字,子明
任不齐,表字,子选
任不齐,籍贯,楚
公良孺,表字,选
公良孺,籍贯,陈
后处,表字,子里
后处,籍贯,齐
秦冉,表字,开
公夏首,表字,乘
奚容箴,表字,皙
奚容箴,籍贯,卫
公坚定,表字,子中
公坚定,籍贯,晋
颜祖,表字,襄
鄡单,表字,子家
鄡单,备注,《家语》无此人
句井疆,籍贯,卫
罕父黑,表字,子索
秦商,表字,子丕
秦商,籍贯,楚
申党,表字,周
颜之仆,表字,叔
荣旂,表字,子棋
县成,表字,子祺
左人郢,表字,行
燕伋,表字,思
郑国,表字,子徒
郑国,备注,《家语》作“薛邦”
秦非,表字,子之
施之常,表字,子恒
颜哙,表字,子声
步叔乘,表字,子车
原亢籍,备注,《家语》作“原亢，字籍”
乐叹,表字,子声
廉絜,表字,庸
叔仲会,表字,子期
颜何,表字,冉
狄黑,表字,皙
孔忠,表字,子蔑
孔忠,备注,孟皮之子，孔子之侄
公西舆如,表字,子上
公西葴,表字,子尚
公西葴,备注,《家语》作“子尚”
仲孙何忌,备注,即孟懿子，孟僖子之子
南宫阅,备注,即南宫敬叔，孟懿子之弟。
秦丕兹,备注,父亲秦堇父与叔梁纥一起投军
